nohup: ignoring input
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3467 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3473 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3505 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3423 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3485 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3475 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3397 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3528 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3411 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3545 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3420 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3444 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3434 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3470 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3504 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3449 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3499 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3501 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3482 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3494 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3534 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3434 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3549 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3458 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3475 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3467 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3464 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3518 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3566 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3401 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3424 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3481 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3457 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3486 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3438 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3434 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6997 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6972 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6866 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6997 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6972 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6866 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6894 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6940 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7001 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7031 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7025 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6967 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7016 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6935 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6897 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6920 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6928 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7027 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6857 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6875 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6877 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6901 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6868 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6981 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6956 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6994 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6912 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6880 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6944 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7068 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6875 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6982 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6947 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6997 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6972 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6866 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3414 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3476 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3431 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3399 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3467 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3473 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3505 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3423 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3485 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3475 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3397 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3528 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3411 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3545 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3420 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3444 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3434 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3470 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3504 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3449 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3499 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3501 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3482 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3494 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3534 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3434 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3549 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3458 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3475 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3467 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3464 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3518 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3566 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3401 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3424 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3481 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3457 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3486 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3438 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3434 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6997 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6972 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6866 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6997 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6972 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6866 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6894 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6940 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7001 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7031 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7025 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6967 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7016 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6935 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6897 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6920 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6928 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7027 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6857 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6875 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6877 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6901 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6868 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6981 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6956 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6994 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6912 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6880 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6944 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7068 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6875 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6982 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6947 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 7085 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6997 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6972 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 6866 constraints
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:763: RuntimeWarning: invalid value encountered in double_scalars
  primal_int_reinforce_ave = primal_int_reinforces.sum() / len(
/home/liudefen/projects/ML4LocalBranch_extend/execute_heuristics.py:775: RuntimeWarning: invalid value encountered in double_scalars
  primal_gap_final_reinforce_ave = primal_gap_final_reinforces.sum() / len(
setcovering-small
firstsol
asymmetric
seed: 0
cpu
setcovering
firstsolSolution
scip-baseline primal integral:  14.735201536062373
scip-lb-baseline primal integral:  7.285796960101306
scip-lb-regression primal integral:  16.370790782573586
scip-lb-rl primal integral:  6.783129717947252
scip-lb-regression-rl primal integral:  16.378248843661886
rl primal integral:  nan


scip-baseline primal gap:  1.968906466854886
scip-lb-baseline primal gap:  0.5304312185279058
scip-lb-regression primal gap:  2.1091441215814015
scip-lb-rl primal gap:  0.6463813076064682
scip-lb-regression-rl primal gap:  2.16241218953418
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
setcovering-large
firstsol
asymmetric
seed: 0
cpu
setcovering
firstsolSolution
scip-baseline primal integral:  18.63614151863987
scip-lb-baseline primal integral:  12.75093858776972
scip-lb-regression primal integral:  22.265106483551687
scip-lb-rl primal integral:  11.274059002318362
scip-lb-regression-rl primal integral:  22.46291409684444
rl primal integral:  nan


scip-baseline primal gap:  1.7953376353411699
scip-lb-baseline primal gap:  0.7631123656982224
scip-lb-regression primal gap:  2.135718570716828
scip-lb-rl primal gap:  1.2151722627974308
scip-lb-regression-rl primal gap:  2.135718570716828
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
setcovering-small
rootsol
asymmetric
seed: 0
cpu
setcovering
rootsolSolution
scip-baseline primal integral:  14.28525671290986
scip-lb-baseline primal integral:  6.584364244446613
scip-lb-regression primal integral:  10.678103317018929
scip-lb-rl primal integral:  6.3024112322639265
scip-lb-regression-rl primal integral:  13.81718778620288
rl primal integral:  nan


scip-baseline primal gap:  1.7542046062043188
scip-lb-baseline primal gap:  0.3424244513163287
scip-lb-regression primal gap:  1.946793136575129
scip-lb-rl primal gap:  0.8151997403413705
scip-lb-regression-rl primal gap:  1.9263497906279636
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
setcovering-large
rootsol
asymmetric
seed: 0
cpu
setcovering
rootsolSolution
scip-baseline primal integral:  1.5668495678624084
scip-lb-baseline primal integral:  0.9604852547468156
scip-lb-regression primal integral:  1.5247622826152256
scip-lb-rl primal integral:  0.9455376798061395
scip-lb-regression-rl primal integral:  1.5302107739397561
rl primal integral:  nan


scip-baseline primal gap:  0.8202849518887889
scip-lb-baseline primal gap:  0.2308415754294387
scip-lb-regression primal gap:  1.2004901268679342
scip-lb-rl primal gap:  0.1745973146397234
scip-lb-regression-rl primal gap:  1.2004901268679342
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
independentset-small
firstsol
symmetric
seed: 0
cpu
independentset
firstsolSolution
scip-baseline primal integral:  1.6171582515468628
scip-lb-baseline primal integral:  0.05295037248107017
scip-lb-regression primal integral:  0.2126048668939451
scip-lb-rl primal integral:  0.11611412948320285
scip-lb-regression-rl primal integral:  0.2500331590097561
rl primal integral:  nan


scip-baseline primal gap:  1.520274694764155
scip-lb-baseline primal gap:  0.021810899265530016
scip-lb-regression primal gap:  0.15977815140112975
scip-lb-rl primal gap:  0.11579459265134306
scip-lb-regression-rl primal gap:  0.2264604787203405
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
independentset-large
firstsol
symmetric
seed: 0
cpu
independentset
firstsolSolution
scip-baseline primal integral:  1.91251783176959
scip-lb-baseline primal integral:  0.16090309450093992
scip-lb-regression primal integral:  0.13780097380300807
scip-lb-rl primal integral:  0.16240443499769863
scip-lb-regression-rl primal integral:  0.13714238193254605
rl primal integral:  nan


scip-baseline primal gap:  3.116508623502392
scip-lb-baseline primal gap:  0.07949953763076836
scip-lb-regression primal gap:  0.046853460587489106
scip-lb-rl primal gap:  0.06835028222780484
scip-lb-regression-rl primal gap:  0.046934699646445935
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
independentset-small
rootsol
symmetric
seed: 0
cpu
independentset
rootsolSolution
scip-baseline primal integral:  1.6425058687556242
scip-lb-baseline primal integral:  0.07884270099538503
scip-lb-regression primal integral:  0.15595112117980314
scip-lb-rl primal integral:  0.09127384061187457
scip-lb-regression-rl primal integral:  0.15702505224379676
rl primal integral:  nan


scip-baseline primal gap:  1.5691353891376172
scip-lb-baseline primal gap:  0.06603428574528784
scip-lb-regression primal gap:  0.1106743511774069
scip-lb-rl primal gap:  0.0716644274802064
scip-lb-regression-rl primal gap:  0.11621758842796122
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
independentset-large
rootsol
symmetric
seed: 0
cpu
independentset
rootsolSolution
scip-baseline primal integral:  1.900472273978861
scip-lb-baseline primal integral:  0.14915585255095848
scip-lb-regression primal integral:  0.12357665596456777
scip-lb-rl primal integral:  0.17033526701220386
scip-lb-regression-rl primal integral:  0.1237646251001661
rl primal integral:  nan


scip-baseline primal gap:  3.0953627061436855
scip-lb-baseline primal gap:  0.05766434357344319
scip-lb-regression primal gap:  0.02491725155478812
scip-lb-rl primal gap:  0.09547739238917344
scip-lb-regression-rl primal gap:  0.024940062350182375
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
combinatorialauction-small
firstsol
symmetric
seed: 0
cpu
combinatorialauction
firstsolSolution
scip-baseline primal integral:  2.3938804452207885
scip-lb-baseline primal integral:  1.996384037966336
scip-lb-regression primal integral:  1.168941754170262
scip-lb-rl primal integral:  2.017965626076149
scip-lb-regression-rl primal integral:  1.2403869510791294
rl primal integral:  nan


scip-baseline primal gap:  0.09984701632547388
scip-lb-baseline primal gap:  0.35919502844793144
scip-lb-regression primal gap:  0.2559732387008169
scip-lb-rl primal gap:  0.32166505438140236
scip-lb-regression-rl primal gap:  0.29824832251907224
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
combinatorialauction-large
firstsol
symmetric
seed: 0
cpu
combinatorialauction
firstsolSolution
scip-baseline primal integral:  6.386225360883271
scip-lb-baseline primal integral:  6.029240838191925
scip-lb-regression primal integral:  5.20378951272237
scip-lb-rl primal integral:  6.0067291188542375
scip-lb-regression-rl primal integral:  5.865159148735242
rl primal integral:  nan


scip-baseline primal gap:  0.011497598901042452
scip-lb-baseline primal gap:  1.627918462433184
scip-lb-regression primal gap:  0.23574913994439015
scip-lb-rl primal gap:  2.4511379606638966
scip-lb-regression-rl primal gap:  0.0943117739336731
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
combinatorialauction-small
rootsol
symmetric
seed: 0
cpu
combinatorialauction
rootsolSolution
scip-baseline primal integral:  2.4430779881452316
scip-lb-baseline primal integral:  2.0517939859110603
scip-lb-regression primal integral:  1.0794326703325787
scip-lb-rl primal integral:  1.9897382342556333
scip-lb-regression-rl primal integral:  1.0784214241388095
rl primal integral:  nan


scip-baseline primal gap:  0.1949135071288972
scip-lb-baseline primal gap:  0.4823318368136448
scip-lb-regression primal gap:  0.21291988087454997
scip-lb-rl primal gap:  0.45167537099038385
scip-lb-regression-rl primal gap:  0.22617585620206904
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
combinatorialauction-large
rootsol
symmetric
seed: 0
cpu
combinatorialauction
rootsolSolution
scip-baseline primal integral:  6.416964377774517
scip-lb-baseline primal integral:  5.678323629975599
scip-lb-regression primal integral:  4.951950872946107
scip-lb-rl primal integral:  5.566444492000724
scip-lb-regression-rl primal integral:  5.57333381003737
rl primal integral:  nan


scip-baseline primal gap:  0.031345604204468844
scip-lb-baseline primal gap:  1.399309763390316
scip-lb-regression primal gap:  0.10022367388021629
scip-lb-rl primal gap:  1.5206649681407618
scip-lb-regression-rl primal gap:  0.08401561297118679
rl primal gap:  nan
seed mcts:  0
seed mcts:  0
